PROVIDER_NUMBER,PROGRAM_NAME,PROGRAM_UMBRELLA,PROGRAM_STREET_ADDRESS1,PROGRAM_STREET_ADDRESS2,PROGRAM_CITY,PROGRAM_ZIPCODE,PROGRAM_PHONE,LICENSING_REGION,SUBSIDY_REGION,PROGRAM_TYPE,LICENSED_FUNDED,LICENSED_PROVIDER_STATUS,FUNDED_PROVIDER_STATUS,REGULATORY_STATUS,FIRST_ISSUED_DATE,LICENSED_CAPACITY,INFANT_BIRTH15MO,INFANTTODDLER_BIRTH33MO,TODDLER_15MO33MO,TODDLERPRESCHOOL_15MOK,PRESCHOOL_33MOK,PRESCHOOLSA_33MO8YR,KINDERGARTEN,KINDERGARTEN_SCHOOLAGE,SCHOOLAGE_5YR14YR,MULTIAGEGROUP_BIRTH14YR,VOUCHER_CONTRACT,C3_ATTESTATION,COI_CAT,SNAPSHOT_DATE,FULL_ADDRESS,Latitude,Longitude
P-176486,"Escobar, Herminia",,170 READVILLE ST,,Hyde Park,02136,(617) 615-5553,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2001-12-03,8,,,,,,,,,,,true,,Low,2026-03-03,"170 READVILLE ST, Hyde Park, MA 02136",42.238768731456,-71.135741279696
P-176493,"Bennett, Shamonda",,23 HOLBORN ST,,Dorchester,02121,(617) 407-2232,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2001-08-30,10,,,,,,,,,,,true,,Very Low,2026-03-03,"23 HOLBORN ST, Dorchester, MA 02121",42.314856703419,-71.081632734182
P-176520,"Ortiz, Nancy",,58 WESTMINSTER STREET #1,,Hyde Park,02136,(857) 261-4596,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2001-10-22,10,,,,,,,,,,,true,,Low,2026-03-03,"58 WESTMINSTER STREET #1, Hyde Park, MA 02136",42.264048642521,-71.119471297017
P-176533,"Maria Florencio, Yoelis",,28 GLENDALE ST # 1,,Dorchester,02125,(617) 506-8149,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2001-10-30,6,,,,,,,,,,,false,,Very Low,2026-03-03,"28 GLENDALE ST # 1, Dorchester, MA 02125",42.312882129565,-71.066674697143
P-176541,"Heraldo, Cindy",,30 Leighton Rd,,Hyde Park,02136,(617) 690-9884,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2001-11-19,10,,,,,,,,,,,true,,Low,2026-03-03,"30 Leighton Rd, Hyde Park, MA 02136",42.252267723314,-71.143059499421
P-176558,"Martinez, Modestina",,72 Draper Street # 1,,Dorchester,02122,(617) 288-1328,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2002-02-08,10,,,,,,,,,,,true,,Very Low,2026-03-03,"72 Draper Street # 1, Dorchester, MA 02122",42.303860736918,-71.064588687737
P-176594,"Ortiz, Victoria",,51 Esmond St,,Dorchester,02121,(617) 510-1541,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-05-03,10,,,,,,,,,,,true,,Very Low,2026-03-03,"51 Esmond St, Dorchester, MA 02121",42.298138494568,-71.084528256911
P-176606,"Figueroa-Petty, Janet",,61 RICHFIELD STREET,,Dorchester,02125,(617) 282-7561,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2002-04-02,10,,,,,,,,,,,true,,Very Low,2026-03-03,"61 RICHFIELD STREET, Dorchester, MA 02125",42.30634055357,-71.070328044925
P-176641,"Gomez, Ana",,22 MOUNT HOPE STREET,,Roslindale,02131,(617) 803-1641,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2002-01-08,10,,,,,,,,,,,true,,Moderate,2026-03-03,"22 MOUNT HOPE STREET, Roslindale, MA 02131",42.284289955779,-71.117733326642
P-176669,"Morel, Miosotis",,62 MONTEBELLO RD APT 7,,Jamaica Plain,02130,(857) 345-0760,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-01-28,10,,,,,,,,,,,false,,Moderate,2026-03-03,"62 MONTEBELLO RD APT 7, Jamaica Plain, MA 02130",42.312313417147,-71.10096068333
P-176674,"Corbette, Cynthia",,34 HOLMFIELD AVE,,Hyde Park,02136,(617) 276-3468,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2002-03-05,8,,,,,,,,,,,true,,Low,2026-03-03,"34 HOLMFIELD AVE, Hyde Park, MA 02136",42.26351257705,-71.10048221397
P-176675,"Perez, Norma",,40 RAMSDELL AVE,,Roslindale,02131,(617) 363-0011,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2002-02-12,10,,,,,,,,,,,true,,Low,2026-03-03,"40 RAMSDELL AVE, Roslindale, MA 02131",42.276329798112,-71.11816339937
P-176678,"Estrada, Olga",,96 PRINCETON ST APT 1,,East Boston,02128,(617) 568-9873,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2002-03-20,10,,,,,,,,,,,true,,Very Low,2026-03-03,"96 PRINCETON ST APT 1, East Boston, MA 02128",42.37757087663,-71.035981434925
P-176710,"Farquharson, Sonia",,142 WHITFIELD STREET,,Dorchester,02124,(617) 767-5907,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-04-12,10,,,,,,,,,,,true,,Very Low,2026-03-03,"142 WHITFIELD STREET, Dorchester, MA 02124",42.294009655369,-71.075398743592
P-176749,"Auguste, Juliet",,40 HOSMER ST # 1,,Mattapan,02126,(617) 298-1632,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2002-02-21,10,,,,,,,,,,,true,,Very Low,2026-03-03,"40 HOSMER ST # 1, Mattapan, MA 02126",42.281024883176,-71.090713654295
P-176754,"Bautista, Dulys",,24 LOCKWOOD STREET,,Hyde Park,02136,(617) 817-5151,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-09-10,10,,,,,,,,,,,true,,Very Low,2026-03-03,"24 LOCKWOOD STREET, Hyde Park, MA 02136",42.264890700992,-71.117485728097
P-176804,"Tejeda, Eva",,152 STANDARD STREET # 129,,Mattapan,02126,(617) 298-1466,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-12-17,10,,,,,,,,,,,true,,Very Low,2026-03-03,"152 STANDARD STREET # 129, Mattapan, MA 02126",42.276432740067,-71.080402805021
P-176830,"Lorenzo, Xiomara",,1 Maple Court # 6,,Dorchester,02121,(617) 953-7172,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-11-06,6,,,,,,,,,,,true,,Very Low,2026-03-03,"1 Maple Court # 6, Dorchester, MA 02121",42.308271221344,-71.086066497227
P-176850,"Hyman, Mary",,178 HUMBOLDT AVENUE,,Dorchester,02121,(617) 427-4454,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-01-02,10,,,,,,,,,,,true,,Very Low,2026-03-03,"178 HUMBOLDT AVENUE, Dorchester, MA 02121",42.313584341344,-71.089053071161
P-176852,"Melendez, Alida",,65 CHARLES STREET,,Hyde Park,02136,(857) 246-0733,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-12-04,6,,,,,,,,,,,true,,Low,2026-03-03,"65 CHARLES STREET, Hyde Park, MA 02136",42.249358250788,-71.133844991899
P-176884,"Blanco, Isabel",,6 Brookfiekld St #1,,Roslindale,02131,(617) 327-6342,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2002-08-13,10,,,,,,,,,,,false,,Moderate,2026-03-03,"6 Brookfiekld St #1, Roslindale, MA 02131",42.288146295011,-71.132222729779
P-176896,"Vardaro, Christine",,23 FRANCONIA ST,,Dorchester,02122-2107,(617) 593-7503,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2025-07-10,6,,,,,,,,,,,false,,,2026-03-03,"23 FRANCONIA ST, Dorchester, MA 02122-2107",42.285287558238,-71.054307701528
P-176959,"Rhea-Marshall, Leanne",,48 TILESTON STREET,,Hyde Park,02136,(617) 710-7526,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-01-10,8,,,,,,,,,,,false,,Low,2026-03-03,"48 TILESTON STREET, Hyde Park, MA 02136",42.265571695051,-71.10626456527
P-176964,"Brito, Frances",,218 METROPOLITAN AVENUE,,Roslindale,02131,(617) 970-4540,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-02-10,10,,,,,,,,,,,false,,Moderate,2026-03-03,"218 METROPOLITAN AVENUE, Roslindale, MA 02131",42.277505700083,-71.127224220012
P-176976,"Guerrero, Wanda",,16 Waumbeck St,,Dorchester,02121,(617) 230-8007,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Inactive,2003-02-27,10,,,,,,,,,,,true,,Very Low,2026-03-03,"16 Waumbeck St, Dorchester, MA 02121",42.313658911269,-71.085331537601
P-176988,"Hidalgo-Derosa, Carmen",,285 CENTRE STREET # 1,,Dorchester,02122,(617) 288-9650,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-03-06,10,,,,,,,,,,,true,,Low,2026-03-03,"285 CENTRE STREET # 1, Dorchester, MA 02122",42.293823605317,-71.061156007258
P-176993,"Herrera-Ortiz, Rocio",,309 East Eagle St,,East Boston,02128,(617) 970-6085,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2003-04-15,6,,,,,,,,,,,true,,Very Low,2026-03-03,"309 East Eagle St, East Boston, MA 02128",42.381285025942,-71.02914801993
P-177055,Roslindale Community School Council After School,"Roslindale Community Center Council, Inc.",6 Cummins Highway,,Roslindale,02131,(617) 635-5185,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-12-02,26,,,,,,,,,26,,true,,Low,2026-03-03,"6 Cummins Highway, Roslindale, MA 02131",42.286347766557,-71.127855221874
P-177064,"Nunez, Sobeida",,65 LENOX STREET # 1,,Boston,02118,(857) 492-6467,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-03-07,8,,,,,,,,,,,true,,Very Low,2026-03-03,"65 LENOX STREET # 1, Boston, MA 02118",42.33640697645,-71.080667742998
P-177071,"Manrique Sarria, Liliana",,95 MAVERICK ST # 2,,East Boston,02128-2326,(617) 510-0069,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-10-01,10,,,,,,,,,,,true,,Low,2026-03-03,"95 MAVERICK ST # 2, East Boston, MA 02128-2326",42.370524818576,-71.039966319116
P-177133,Eagle's Nest @ Boston College High School,Eagle's Nest Cooperative Day Care Center Inc.,150 MORRISSEY BLVD.,,Dorchester,02127,(617) 593-5035,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2005-08-31,38,7,6,9,,16,,,,,,false,,Very Low,2026-03-03,"150 MORRISSEY BLVD., Dorchester, MA 02127",,
P-177140,Bright Horizons @ Seaport,"Bright Horizons Childrenâs Centers, LLC",30 WORLD TRADE CENTER AVE,,Boston,02210,(617) 946-0682,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2003-10-15,54,7,9,9,9,20,,,,,,true,,High,2026-03-03,"30 WORLD TRADE CENTER AVE, Boston, MA 02210",42.349381953962,-71.042178804798
P-177145,Willow Path Childcare,Willow Path ChildCare LLC,19 VFW PARKWAY,,West Roxbury,02132,(617) 325-4300,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2003-11-14,114,7,,27,,60,20,,,,,false,,High,2026-03-03,"19 VFW PARKWAY, West Roxbury, MA 02132",,
P-177158,East Boston Head Start,"Action For Boston Community Development, Inc./ABCD",120 CONDOR ST # 130,,East Boston,02128-,(617) 567-8855,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2004-10-21,68,,40,,8,20,,,,,,true,,Very Low,2026-03-03,"120 CONDOR ST # 130, East Boston, MA 02128-",42.382654243022,-71.037403511168
P-177179,"Little Voices Early Care and Education, Inc.","Little Voices Early and Education, Inc",104 NEEDHAM ROAD,,Hyde Park,02136,(617) 361-5555,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-10-02,35,7,9,9,,10,,,,,,true,,Low,2026-03-03,"104 NEEDHAM ROAD, Hyde Park, MA 02136",42.242492733807,-71.123158517057
P-177181,Wee Care JP,Wee Care J.P Corp,305 LAMARTINE ST,,Jamaica Plain,02130-2235,(617) 522-7901,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2004-12-20,36,,,9,13,14,,,,,,true,,High,2026-03-03,"305 LAMARTINE ST, Jamaica Plain, MA 02130-2235",42.312721619816,-71.108060977584
P-177182,Sunny Bear Academy,Sunny Bear Toddler Playcare Program,177 GREEN ST,,Jamaica Plain,02130,(617) 469-3977,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2005-01-13,48,17,,13,,,18,,,,,true,,Low,2026-03-03,"177 GREEN ST, Jamaica Plain, MA 02130",42.310068883432,-71.106217063488
P-177183,The Mosaic School,"The Mosaic School, Inc",3859 WASHINGTON STEET,,Roslindale,02131,(617) 524-1155,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2005-01-31,76,,,,36,40,,,,,,false,,Very Low,2026-03-03,"3859 WASHINGTON STEET, Roslindale, MA 02131",42.296290375621,-71.117770431845
P-177231,Excel Academy Inc.,"Excel Academy, Inc.",1105 BLUE HILL AVENUE,,Dorchester,02124,(617) 282-9100,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2006-11-09,71,10,9,9,,30,,,,13,,true,,Very Low,2026-03-03,"1105 BLUE HILL AVENUE, Dorchester, MA 02124",42.286814124035,-71.090770578466
P-177327,Sunrise Learning Academy LLC,Sunrise Learning Academy LLC,131 CAMBRIDGE STREET,,Boston,02114,(617) 227-6402,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-10-02,66,14,16,9,9,18,,,,,,true,,Very High,2026-03-03,"131 CAMBRIDGE STREET, Boston, MA 02114",42.361252040579,-71.066135894776
P-177343,Good Shepherd Preschool,Good Shepherd School,20 Winthrop Street,,Charlestown,02129-3609,(617) 242-8800,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-10-28,75,,,,9,66,,,,,,true,,High,2026-03-03,"20 Winthrop Street, Charlestown, MA 02129-3609",42.373837792886,-71.061505277361
P-177385,Bright Horizons Family Solution @ Beacon Hill,"Bright Horizons Childrenâs Centers, LLC",100 CAMBRIDGE ST STE 104,,Boston,02114-2532,(617) 843-3670,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-07-02,113,28,,45,,20,20,,,,,true,,Moderate,2026-03-03,"100 CAMBRIDGE ST STE 104, Boston, MA 02114-2532",42.360988608209,-71.061575816465
P-177391,Lighthouse Early Learning Center,Arabic Evangelical Baptist Church,222 SPRING STREET,,West Roxbury,02132,(617) 588-1288,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2007-12-04,64,21,,24,9,10,,,,,,true,,Moderate,2026-03-03,"222 SPRING STREET, West Roxbury, MA 02132",42.274289678214,-71.169080052528
P-177392,Charlestown Cooperative Nursery School,"Charlestown Cooperative Nursery School, Inc.",124 MAIN ST,,Charlestown,02129,(617) 242-5159,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2007-09-10,54,,,18,,36,,,,,,false,,High,2026-03-03,"124 MAIN ST, Charlestown, MA 02129",42.374499779165,-71.06378278758
P-177393,Sunshine Childcare I,"Sunshine Learning and Care, Inc",236 HARRISON AVENUE,,Boston,02111,(617) 426-3083,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2007-09-28,29,,,,9,20,,,,,,true,,Low,2026-03-03,"236 HARRISON AVENUE, Boston, MA 02111",42.347772575799,-71.062602974605
P-177456,Pine Village c/o St.John's Episcopal Church,Pine Village Preschool - Current,One Roanoke Avenue,,Jamaica Plain,02130-2817,(857) 998-0397,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2008-10-21,46,,,26,,20,,,,,,true,,High,2026-03-03,"One Roanoke Avenue, Jamaica Plain, MA 02130-2817",42.310269605546,-71.110411376901
P-177495,Pine Village Preschool,Pine Village Preschool - Current,700 HARRISON AVE,,Boston,02118-2631,(617) 294-5542,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-09-08,45,,,18,,27,,,,,,true,,Low,2026-03-03,"700 HARRISON AVE, Boston, MA 02118-2631",42.338700390381,-71.07036181158
P-177509,Buds and Blossoms Early Education and Care Center,Asian American Civic Association,87 TYLER STREET,,Boston,02111,(617) 426-9492,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-12-29,57,11,17,,9,20,,,,,,true,,Low,2026-03-03,"87 TYLER STREET, Boston, MA 02111",42.348897707008,-71.061540123253
P-177510,YMCA of Greater Boston At the Boston Teachers Union School,YMCA of Greater Boston,25 Walk Hill Street,,Jamaica Plain,02130,(617) 631-4615,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-10-19,36,,,,,,10,,,26,,true,,Moderate,2026-03-03,"25 Walk Hill Street, Jamaica Plain, MA 02130",42.294588914621,-71.115474395512
P-177593,A Child's View,Day Care Consulants  Inc.,56 PLEASANT STREET,,Dorchester,02125,(617) 929-3658,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2009-08-27,100,14,9,27,,50,,,,,,true,,Low,2026-03-03,"56 PLEASANT STREET, Dorchester, MA 02125",42.314934009906,-71.059869616183
P-177600,Kids Club Childcare and Preschool Center Inc,Kids Club,1208 VFW PARKWAY,,West Roxbury,02132,(617) 363-0090,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2009-10-08,57,10,18,,9,20,,,,,,true,,Moderate,2026-03-03,"1208 VFW PARKWAY, West Roxbury, MA 02132",42.279402498857,-71.171129494578
P-177728,YMCA of Greater Boston at the Winthrop Elementary School,YMCA of Greater Boston,35 BROOKFORD STREET,,Dorchester,02125,(617) 835-0893,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2006-09-11,52,,,,,,,,,52,,true,,Very Low,2026-03-03,"35 BROOKFORD STREET, Dorchester, MA 02125",42.31836695477,-71.075408917841
P-177801,Twelfth Baptist Church After School Program,S.A.M.H.  Corporation,150 WARREN STREET,,Roxbury,02119,(617) 427-5158,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2004-09-17,26,,,,,,,,,26,,true,,Very Low,2026-03-03,"150 WARREN STREET, Roxbury, MA 02119",42.325618664086,-71.083197315345
P-177874,Roslindale Learning Academy,Roslindale Learning Academy,6 Basile St,,Roslindale,02131-2502,(617) 942-8258,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2024-02-21,48,13,9,,8,,18,,,,,true,,Low,2026-03-03,"6 Basile St, Roslindale, MA 02131-2502",42.287074420039,-71.127208030722
P-177896,YMCA of Greater Boston @ the Bates Elementary School,YMCA of Greater Boston,426 BEECH STREET,,Roslindale,02131,(617) 512-5640,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2022-08-26,52,,,,,,,,,52,,true,,Low,2026-03-03,"426 BEECH STREET, Roslindale, MA 02131",42.277118640039,-71.135011794244
P-177974,YMCA of Greater Boston at the Thomas M. Menino Y OST,YMCA of Greater Boston,1137 RIVER STREET,,Hyde Park,02136,(617) 631-4615,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-09-09,99,,,,,8,,,,91,,true,,Very Low,2026-03-03,"1137 RIVER STREET, Hyde Park, MA 02136",42.257481033209,-71.119791603884
P-178004,Square Roots,"Castle Square Tenants Organization,Inc",460 TREMONT STREET #3,,Boston,02116,(617) 482-4605,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2008-09-26,52,,,,,,,,,52,,true,,Low,2026-03-03,"460 TREMONT STREET #3, Boston, MA 02116",42.346243798606,-71.069226799078
P-178042,YMCA of Greater Boston At the King K-8 School,YMCA of Greater Boston,77 LAWRENCE AVENUE,,Dorchester,02121,(857) 972-2896,Metro Boston,Region 6,Center-based Care,Licensed,Current,,,2009-09-28,65,,,,,,,,,65,,true,,Very Low,2026-03-03,"77 LAWRENCE AVENUE, Dorchester, MA 02121",42.31139641437,-71.075996818797
P-178043,Bird Street Cmty Ctr. ASP@ Higginson-Lewis K2-8 Before and After School Program,Uphams Corner Community Recreation Center,131 WALNUT AVENUE,,Roxbury,02119,(617) 282-6110,Metro Boston,Region 6,Center-based Care,Licensed,Renewal in progress,,,2009-10-14,39,,,,,,,,,39,,true,,Very Low,2026-03-03,"131 WALNUT AVENUE, Roxbury, MA 02119",42.321478022752,-71.085643804905
P-178119,"Eason, Celia",,5 COPELAND PARK,,Roxbury,02119,(617) 470-7369,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-05-14,10,,,,,,,,,,,true,,Very Low,2026-03-03,"5 COPELAND PARK, Roxbury, MA 02119",42.322914788,-71.079601781668
P-178160,"Medina, Angie",,4 FAWNDALE RD # 1,,Roslindale,02131,(617) 469-8249,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2004-01-27,10,,,,,,,,,,,true,,Low,2026-03-03,"4 FAWNDALE RD # 1, Roslindale, MA 02131",42.29068516096,-71.123433242552
P-178238,"Feliz, Rosario",,224 Harold St #1,,Dorchester,02121,(617) 606-0740,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-07-21,8,,,,,,,,,,,true,,Low,2026-03-03,"224 Harold St #1, Dorchester, MA 02121",42.313238951985,-71.092284775579
P-178247,"Ortega, Lisbet",,122 Belnel Rd,,Hyde Park,02136,(617) 955-5908,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-08-19,10,,,,,,,,,,,true,,Low,2026-03-03,"122 Belnel Rd, Hyde Park, MA 02136",42.260554451963,-71.103359340167
P-178276,"Lesser-Gonzalez, Andrea",,104 METROPOLITAN AVE,,Roslindale,02131-3534,(617) 922-0091,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-10-01,10,,,,,,,,,,,false,,Moderate,2026-03-03,"104 METROPOLITAN AVE, Roslindale, MA 02131-3534",42.279861174476,-71.130899732398
P-178320,"Andujar, Greter",,"3 ESMOND STREET, APT #2",,Dorchester,02121,(857) 389-0103,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2003-10-27,10,,,,,,,,,,,true,,Very Low,2026-03-03,"3 ESMOND STREET, APT #2, Dorchester, MA 02121",42.299372901126,-71.086279779337
P-178361,"Brown, Joyce",,62 DENT ST,,West Roxbury,02132-3206,(617) 327-7022,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2004-04-28,8,,,,,,,,,,,false,,High,2026-03-03,"62 DENT ST, West Roxbury, MA 02132-3206",42.282604732424,-71.162533063716
P-178370,"Navarro, Arelis",,216 Huntington Ave,,Hyde Park,02136,(617) 792-9505,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-02-11,10,,,,,,,,,,,true,,Low,2026-03-03,"216 Huntington Ave, Hyde Park, MA 02136",42.268289113975,-71.117583597825
P-178376,"Leon, Mireya",,432 BEECH ST #1,,Roslindale,02131-4849,(617) 785-5690,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-02-04,10,,,,,,,,,,,false,,Low,2026-03-03,"432 BEECH ST #1, Roslindale, MA 02131-4849",42.277034352955,-71.134880095704
P-178391,"Concepcion, Altagracia",,608 NORFOLK STREET,,Mattapan,02126,(857) 991-6336,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-03-18,8,,,,,,,,,,,true,,Very Low,2026-03-03,"608 NORFOLK STREET, Mattapan, MA 02126",42.276778769444,-71.092256079166
P-178394,"Suarez, Dulce",,17 SONOMA ST APT 2,,Dorchester,02121-2923,(617) 427-6581,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-03-12,8,,,,,,,,,,,true,,Very Low,2026-03-03,"17 SONOMA ST APT 2, Dorchester, MA 02121-2923",42.30820991016,-71.086632407478
P-178402,"Salazar,Angela M",,5 West Cottage Street,,Dorchester,02125-2926,(617) 427-3814,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-04-23,8,,,,,,,,,,,true,,Very Low,2026-03-03,"5 West Cottage Street, Dorchester, MA 02125-2926",42.321314795118,-71.072556649119
P-178453,"Guerrero, Gladys",,14 Groveland Street #1,,Mattapan,02126,(857) 207-6614,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2006-02-22,10,,,,,,,,,,,true,,Low,2026-03-03,"14 Groveland Street #1, Mattapan, MA 02126",42.271948537771,-71.07727204167
P-178522,"Caridad, Daysi",,18 Hallron Street,,Hyde Park,02136,(857) 237-9833,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2004-05-20,10,,,,,,,,,,,false,,Low,2026-03-03,"18 Hallron Street, Hyde Park, MA 02136",42.268240528117,-71.129293083021
P-178546,"De Los Santos, Alexandra",,1082 CANTERBURY ST,,Roslindale,02131-4672,(617) 602-3718,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-06-30,10,,,,,,,,,,,true,,Moderate,2026-03-03,"1082 CANTERBURY ST, Roslindale, MA 02131-4672",42.278013003721,-71.122873555407
P-178569,"Bobadilla, Johany",,11 WAUMBECK ST # 2,,Dorchester,02121,(857) 236-1972,Metro Boston,Region 6,Family Child Care,Licensed,Renewal in progress,,Active,2004-08-12,10,,,,,,,,,,,true,,Very Low,2026-03-03,"11 WAUMBECK ST # 2, Dorchester, MA 02121",42.313601907034,-71.084722511011
P-178580,"Zapata Mejia, Beatriz",,8 HENRY ST APT 1,,East Boston,02128,(617) 561-0862,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-09-22,10,,,,,,,,,,,true,,Low,2026-03-03,"8 HENRY ST APT 1, East Boston, MA 02128",42.369393279237,-71.039669524877
P-178598,"Acevedo, Ayalibys",,1141 HYDE PARK AVE. APT 2,,Hyde Park,02136,(617) 435-5545,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-08-16,10,,,,,,,,,,,true,,Very Low,2026-03-03,"1141 HYDE PARK AVE. APT 2, Hyde Park, MA 02136",42.26024489131,-71.12304259574
P-178624,"Negron, Raisa",,"224 HAROLD STREET,  3rd. FL. Apt. 9",,Dorchester,02121,(617) 834-4631,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2022-02-11,10,,,,,,,,,,,true,,Low,2026-03-03,"224 HAROLD STREET,  3rd. FL. Apt. 9, Dorchester, MA 02121",42.313238951985,-71.092284775579
P-178644,"King, Lisa",,91 Lorna Rd,,Mattapan,02126,(617) 872-5148,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-07-26,8,,,,,,,,,,,true,,Very Low,2026-03-03,"91 Lorna Rd, Mattapan, MA 02126",42.277596109097,-71.084503341765
P-178664,"Manrique Sarria, Maria",,109 Morris Street,,Boston,02128,(617) 892-1987,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-07-28,6,,,,,,,,,,,true,,Very Low,2026-03-03,"109 Morris Street, Boston, MA 02128",42.37651202502,-71.03188631084
P-178721,"Rosas, Leopoldina",,106 Dana Ave,Apt 1,Hyde Park,02136,(617) 361-2918,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2004-09-28,8,,,,,,,,,,,true,,Low,2026-03-03,"106 Dana Ave, Hyde Park, MA 02136",42.24978083194,-71.122082514167
P-178767,"Mendez, Xiomara",,50 IFFLEY RD # 1,,Jamaica Plain,02130,(617) 522-3532,Metro Boston,Region 6,Family Child Care,Licensed,Current,,Active,2005-01-20,10,,,,,,,,,,,true,,Moderate,2026-03-03,"50 IFFLEY RD # 1, Jamaica Plain, MA 02130",42.312432243023,-71.09935079159
